year,month,baseline_bill_usd,bill_with_pv_usd,kwh_baseline,kwh_net,kwh_saved,usd_saved
2023,1,7402.356936517101,6336.197164491365,27407.861739999997,21205.16052074397,6202.701219256025,1066.159772025736
2023,2,6766.543977781561,5487.822568091081,24211.74270833333,16772.401012007875,7439.341696325457,1278.72140969048
2023,3,6947.315085502327,5438.09173774089,25529.96296,16749.607759106588,8780.355200893413,1509.2233477614373
2023,4,6656.971847476736,4919.582552601985,23956.310761666668,13848.532377601145,10107.778384065523,1737.3892948747507
2023,5,6931.415752672305,4878.943642802564,25332.63374,13391.767471721123,11940.866268278878,2052.472109869741
2023,6,8739.805876066472,6224.3613432760585,29431.87553,14915.966074001337,14515.909455998664,2515.444532790413
2023,7,12834.332803736306,9682.96744090524,43621.59308499999,25287.58884732972,18334.004237670273,3151.365362831066
2023,8,11047.437970692548,8364.691829135616,37423.7636,21816.09090421585,15607.67269578415,2682.7461415569323
2023,9,10557.526009037141,8769.31706145867,33329.43129,22925.9944783157,10403.4368116843,1788.2089475784705
2023,10,7323.922937997351,6000.4121113246165,26603.466399999998,18903.548963888614,7699.917436111384,1323.5108266727348
2023,11,7017.859656958619,5806.251972740534,25210.686473333335,18161.798813765876,7048.887659567459,1211.6076842180846
2023,12,7212.760256867126,6184.375983212587,26444.6652,20461.73416524441,5982.931034755591,1028.3842736545394
