"TimePeriod","GeoTypeDesc","GeoID","GeoRank","Geography","Mean mcg/m3","10th percentile mcg/m3","90th percentile mcg/m3"
"Winter 2010-11","Borough","2","1","Brooklyn","12.6","11.4","14.0"
"Winter 2010-11","Borough","3","1","Manhattan","14.8","13.8","16.2"
"Winter 2010-11","Borough","4","1","Queens","12.1","11.1","13.2"
"Winter 2010-11","Borough","5","1","Staten Island","11.7","11.1","12.4"
"Winter 2009-10","Citywide","1","0","New York City","9.9","8.6","11.5"
"Winter 2009-10","Borough","1","1","Bronx","10.9","9.6","12.4"
"Winter 2009-10","Borough","2","1","Brooklyn","10.0","9.0","10.9"
"Winter 2009-10","Borough","3","1","Manhattan","12.0","10.2","14.0"
"Winter 2009-10","Borough","4","1","Queens","9.4","8.5","10.3"
"Winter 2009-10","Borough","5","1","Staten Island","9.1","8.5","9.8"
"Winter 2008-09","Citywide","1","0","New York City","12.9","11.2","14.8"
"Winter 2008-09","Borough","1","1","Bronx","14.1","12.8","15.3"
"Winter 2008-09","Borough","2","1","Brooklyn","12.9","11.2","14.4"
"Winter 2008-09","Borough","3","1","Manhattan","15.3","14.0","17.4"
"Winter 2008-09","Borough","4","1","Queens","12.6","11.4","13.6"
"Winter 2008-09","Borough","5","1","Staten Island","11.8","10.9","12.8"
"Summer 2023","Citywide","1","0","New York City","8.8","8.3","9.4"
"Summer 2023","Borough","1","1","Bronx","9.3","9.0","9.6"
"Summer 2023","Borough","2","1","Brooklyn","8.8","8.3","9.4"
"Summer 2023","Borough","3","1","Manhattan","9.3","9.1","9.7"
"Summer 2023","Borough","4","1","Queens","8.8","8.4","9.3"
"Summer 2023","Borough","5","1","Staten Island","8.4","8.2","8.6"
"Summer 2022","Citywide","1","0","New York City","6.4","5.7","7.2"
"Summer 2022","Borough","1","1","Bronx","7.1","6.8","7.4"
"Summer 2022","Borough","2","1","Brooklyn","6.3","5.8","7.1"
"Summer 2022","Borough","3","1","Manhattan","7.5","7.0","8.5"
"Summer 2022","Borough","4","1","Queens","6.4","5.9","7.1"
"Summer 2022","Borough","5","1","Staten Island","5.8","5.6","6.2"
"Summer 2021","Citywide","1","0","New York City","8.3","7.6","9.1"
"Summer 2021","Borough","1","1","Bronx","8.6","8.3","8.9"
"Summer 2021","Borough","2","1","Brooklyn","8.5","7.9","9.2"
"Summer 2021","Borough","3","1","Manhattan","9.4","8.7","10.8"
"Summer 2021","Borough","4","1","Queens","8.1","7.5","8.9"
"Summer 2021","Borough","5","1","Staten Island","7.9","7.5","8.3"
"Summer 2020","Citywide","1","0","New York City","7.0","6.4","7.6"
"Summer 2020","Borough","1","1","Bronx","7.2","7.0","7.5"
"Summer 2020","Borough","2","1","Brooklyn","6.9","6.5","7.6"
"Summer 2020","Borough","3","1","Manhattan","7.8","7.2","9.0"
"Summer 2020","Borough","4","1","Queens","6.9","6.5","7.5"
"Summer 2020","Borough","5","1","Staten Island","6.6","6.4","6.9"
"Summer 2019","Citywide","1","0","New York City","7.9","7.1","9.1"
"Summer 2019","Borough","1","1","Bronx","8.0","7.5","8.7"
"Summer 2019","Borough","2","1","Brooklyn","8.2","7.5","9.3"
"Summer 2019","Borough","3","1","Manhattan","9.4","8.0","11.6"
"Summer 2019","Borough","4","1","Queens","7.7","7.1","8.7"
"Summer 2019","Borough","5","1","Staten Island","7.4","7.0","7.8"
"Summer 2018","Citywide","1","0","New York City","8.3","7.3","9.4"
"Summer 2018","Borough","1","1","Bronx","8.6","8.0","9.2"
"Summer 2018","Borough","2","1","Brooklyn","8.4","7.7","9.4"
"Summer 2018","Borough","3","1","Manhattan","9.7","8.5","11.6"
"Summer 2018","Borough","4","1","Queens","8.3","7.8","8.9"
"Summer 2018","Borough","5","1","Staten Island","7.5","7.2","8.0"
"Summer 2017","Citywide","1","0","New York City","8.9","7.8","10.3"
"Summer 2017","Borough","1","1","Bronx","9.6","8.9","10.5"
"Summer 2017","Borough","2","1","Brooklyn","9.1","8.2","10.5"
"Summer 2017","Borough","3","1","Manhattan","10.4","9.6","11.6"
"Summer 2017","Borough","4","1","Queens","8.8","8.1","9.7"
"Summer 2017","Borough","5","1","Staten Island","8.1","7.6","8.8"
"Summer 2016","Citywide","1","0","New York City","8.1","7.2","9.4"
"Summer 2016","Borough","1","1","Bronx","8.3","7.5","9.2"
"Summer 2016","Borough","2","1","Brooklyn","8.3","7.5","9.5"
"Summer 2016","Borough","3","1","Manhattan","9.5","8.4","11.2"
"Summer 2016","Borough","4","1","Queens","7.8","6.9","8.7"
"Summer 2016","Borough","5","1","Staten Island","7.8","7.3","8.5"
"Summer 2015","Citywide","1","0","New York City","9.4","8.4","10.6"
"Summer 2015","Borough","1","1","Bronx","9.9","9.2","10.8"
"Summer 2015","Borough","2","1","Brooklyn","9.5","8.6","10.7"
"Summer 2015","Borough","3","1","Manhattan","10.8","9.7","12.4"
"Summer 2015","Borough","4","1","Queens","9.2","8.5","10.1"
