Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,5030607,-,-,-,40.72,-74.01,0,12,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Alpha,AOD,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2020,1,1,0,0,4.2,1.3900000000000001,0.07200000000000001,0.61,0,0,0,0,4,3.4000000000000004,0,0,0,0,0.35100000000000003,94.22,116.02,0.9400000000000001,0.08,1003,1.3,231,2.6
2020,1,1,1,0,4.2,1.3800000000000001,0.079,0.61,0,0,0,0,4,3.4000000000000004,0,0,0,0,0.35000000000000003,94.85000000000001,127.33,0.9400000000000001,0.08,1003,1.2000000000000002,235,2.7
2020,1,1,2,0,3.9000000000000004,1.4000000000000001,0.076,0.61,0,0,0,0,4,3,0,0,0,0,0.34700000000000003,94.09,138.62,0.9400000000000001,0.08,1003,1.1,252,3
2020,1,1,3,0,3.3000000000000003,1.45,0.07,0.61,0,0,0,0,4,2,0,0,0,0,0.34600000000000003,91.34,149.39000000000001,0.9400000000000001,0.08,1003,1,273,3.3000000000000003
2020,1,1,4,0,2.4000000000000004,1.49,0.067,0.61,0,0,0,0,4,0.7000000000000001,0,0,0,0,0.34700000000000003,88.3,158.38,0.9400000000000001,0.08,1003,0.9,282,3.3000000000000003
2020,1,1,5,0,1.7000000000000002,1.5,0.07200000000000001,0.61,0,0,0,0,4,0.1,0,0,0,0,0.34700000000000003,88.9,162.32,0.9500000000000001,0.08,1003,0.9,279,3.2
2020,1,1,6,0,1.2000000000000002,1.5,0.082,0.61,0,0,0,0,4,-0.30000000000000004,0,0,0,0,0.34600000000000003,89.86,158.19,0.9500000000000001,0.08,1003,0.9,276,3.2
2020,1,1,7,0,0.8,1.5,0.091,0.61,0,0,0,0,4,-0.6000000000000001,0,0,0,0,0.342,90.61,149.11,0.9500000000000001,0.08,1004,0.8,275,3.2
2020,1,1,8,0,0.4,1.51,0.097,0.61,0,0,0,0,7,-0.8,0,0,0,0,0.338,91.73,138.32,0.9500000000000001,0.08,1004,0.8,275,3.2
2020,1,1,9,0,0.30000000000000004,1.5,0.099,0.61,0,0,0,0,7,-1,0,0,0,0,0.336,90.68,127.02,0.96,0.08,1004,0.8,276,3.3000000000000003
